Series_Title,Released_Year,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes
Das Boot,1981,8.3,86,Wolfgang Petersen,Jürgen Prochnow,231855
Nuovo Cinema Paradiso,1988,8.5,80,Giuseppe Tornatore,Philippe Noiret,230763
The Artist,2011,7.9,89,Michel Hazanavicius,Jean Dujardin,230624
End of Watch,2012,7.6,68,David Ayer,Jake Gyllenhaal,228132
Eastern Promises,2007,7.6,82,David Cronenberg,Naomi Watts,227760
The Boondock Saints,1999,7.8,44,Troy Duffy,Willem Dafoe,227143
First Blood,1982,7.7,61,Ted Kotcheff,Sylvester Stallone,226541
The Great Escape,1963,8.2,86,John Sturges,Steve McQueen,224730
21 Grams,2003,7.6,70,Alejandro G. Iñárritu,Sean Penn,224545
Philadelphia,1993,7.7,66,Jonathan Demme,Tom Hanks,224169
Amores perros,2000,8.1,83,Alejandro G. Iñárritu,Emilio Echevarría,223741
The Elephant Man,1980,8.1,78,David Lynch,Anthony Hopkins,220078
Jodaeiye Nader az Simin,2011,8.3,95,Asghar Farhadi,Payman Maadi,220002
Ben-Hur,1959,8.1,90,William Wyler,Charlton Heston,219466
Singin' in the Rain,1952,8.3,99,Stanley Donen,Gene Kelly,218957
Modern Times,1936,8.5,96,Charles Chaplin,Charles Chaplin,217881
Gandhi,1982,8,79,Richard Attenborough,Ben Kingsley,217664
Mr. Nobody,2009,7.8,63,Jaco Van Dormael,Jared Leto,216421
What's Eating Gilbert Grape,1993,7.8,73,Lasse Hallström,Johnny Depp,215034
Airplane!,1980,7.7,78,Jim Abrahams,David Zucker,214882
Lion,2016,8,69,Garth Davis,Dev Patel,213970
Call Me by Your Name,2017,7.9,93,Luca Guadagnino,Armie Hammer,212651
Clerks,1994,7.7,70,Kevin Smith,Brian O'Halloran,211450
Yip Man,2008,8,59,Wilson Yip,Donnie Yen,211427
Män som hatar kvinnor,2009,7.8,76,Niels Arden Oplev,Michael Nyqvist,208994
True Romance,1993,7.9,59,Tony Scott,Christian Slater,206918
Match Point,2005,7.6,72,Woody Allen,Scarlett Johansson,206294
Låt den rätte komma in,2008,7.9,82,Tomas Alfredson,Kåre Hedebrant,205609
Wind River,2017,7.7,73,Taylor Sheridan,Kelsey Asbille,205444
The Sound of Music,1965,8,63,Robert Wise,Julie Andrews,205425
Hell or High Water,2016,7.6,88,David Mackenzie,Chris Pine,204175
The Bridge on the River Kwai,1957,8.1,87,David Lean,William Holden,203463
Toy Story 4,2019,7.8,84,Josh Cooley,Tom Hanks,203177
Butch Cassidy and the Sundance Kid,1969,8,66,George Roy Hill,Paul Newman,201888
Carlito's Way,1993,7.9,65,Brian De Palma,Al Pacino,201000
Hidden Figures,2016,7.8,74,Theodore Melfi,Taraji P. Henson,200876
Fantastic Mr. Fox,2009,7.9,83,Wes Anderson,George Clooney,199696
Finding Neverland,2004,7.6,67,Marc Forster,Johnny Depp,198677
Per un pugno di dollari,1964,8,65,Sergio Leone,Clint Eastwood,198219
Remember the Titans,2000,7.8,48,Boaz Yakin,Denzel Washington,198089
Coraline,2009,7.7,80,Henry Selick,Dakota Fanning,197761
When Harry Met Sally...,1989,7.6,76,Rob Reiner,Billy Crystal,195663
Kimi no na wa.,2016,8.4,79,Makoto Shinkai,Ryûnosuke Kamiki,194838
Rosemary's Baby,1968,8,96,Roman Polanski,Mia Farrow,193674
El secreto de sus ojos,2009,8.2,80,Juan José Campanella,Ricardo Darín,193217
"South Park: Bigger, Longer & Uncut",1999,7.7,73,Trey Parker,Trey Parker,192112
The Boy in the Striped Pyjamas,2008,7.8,55,Mark Herman,Asa Butterfield,190748
Serbuan maut,2011,7.6,73,Gareth Evans,Iko Uwais,190531
Primal Fear,1996,7.7,47,Gregory Hoblit,Richard Gere,189716
Captain Fantastic,2016,7.9,72,Matt Ross,Viggo Mortensen,189400
Lola rennt,1998,7.6,77,Tom Tykwer,Franka Potente,188317
Dark City,1998,7.6,66,Alex Proyas,Rufus Sewell,187927
Brazil,1985,7.9,84,Terry Gilliam,Jonathan Pryce,187567
Sleepers,1996,7.6,49,Barry Levinson,Robert De Niro,186734
Close Encounters of the Third Kind,1977,7.6,90,Steven Spielberg,Richard Dreyfuss,184966
Misery,1990,7.8,75,Rob Reiner,James Caan,184740
The Blues Brothers,1980,7.9,60,John Landis,John Belushi,183182
Who Framed Roger Rabbit,1988,7.7,83,Robert Zemeckis,Bob Hoskins,182009
Blue Velvet,1986,7.7,76,David Lynch,Isabella Rossellini,181285
Straight Outta Compton,2015,7.8,72,F. Gary Gray,O'Shea Jackson Jr.,179264
Willy Wonka & the Chocolate Factory,1971,7.8,67,Mel Stuart,Gene Wilder,178731
Adaptation.,2002,7.7,83,Spike Jonze,Nicolas Cage,178565
Paths of Glory,1957,8.4,90,Stanley Kubrick,Kirk Douglas,178092
Relatos salvajes,2014,8.1,77,Damián Szifron,Darío Grandinetti,177059
Cinderella Man,2005,8,69,Ron Howard,Russell Crowe,176151
The Last King of Scotland,2006,7.7,74,Kevin Macdonald,James McAvoy,175355
Goldfinger,1964,7.7,87,Guy Hamilton,Sean Connery,174119
Ying xiong,2002,7.9,85,Yimou Zhang,Jet Li,173999
The Thin Red Line,1998,7.6,78,Terrence Malick,Jim Caviezel,172710
The Iron Giant,1999,8,85,Brad Bird,Eli Marienthal,172083
The Birds,1963,7.7,90,Alfred Hitchcock,Rod Taylor,171739
Falling Down,1993,7.6,56,Joel Schumacher,Michael Douglas,171640
25th Hour,2002,7.6,68,Spike Lee,Edward Norton,169708
Rushmore,1998,7.7,86,Wes Anderson,Jason Schwartzman,169229
Batoru rowaiaru,2000,7.6,81,Kinji Fukasaku,Tatsuya Fujiwara,169091
City Lights,1931,8.5,99,Charles Chaplin,Charles Chaplin,167839
Mad Max 2,1981,7.6,77,George Miller,Mel Gibson,166588
Breakfast at Tiffany's,1961,7.6,76,Blake Edwards,Audrey Hepburn,166544
The Jungle Book,1967,7.6,65,Wolfgang Reitherman,Phil Harris,166409
Dazed and Confused,1993,7.6,78,Richard Linklater,Jason London,165465
Planet of the Apes,1968,8,79,Franklin J. Schaffner,Charlton Heston,165167
Det sjunde inseglet,1957,8.2,88,Ingmar Bergman,Max von Sydow,164939
Ed Wood,1994,7.8,70,Tim Burton,Johnny Depp,164937
The Apartment,1960,8.3,94,Billy Wilder,Jack Lemmon,164363
Cool Hand Luke,1967,8.1,92,Stuart Rosenberg,Paul Newman,161984
Metropolis,1927,8.3,98,Fritz Lang,Brigitte Helm,159992
The Insider,1999,7.8,84,Michael Mann,Russell Crowe,159886
Soul,2020,8.1,83,Pete Docter,Kemp Powers,159171
The Third Man,1949,8.1,97,Carol Reed,Orson Welles,158731
Dial M for Murder,1954,8.2,75,Alfred Hitchcock,Ray Milland,158335
Mary Poppins,1964,7.8,88,Robert Stevenson,Julie Andrews,158029
What We Do in the Shadows,2014,7.7,76,Jemaine Clement,Taika Waititi,157498
In the Name of the Father,1993,8.1,84,Jim Sheridan,Daniel Day-Lewis,156842
Letters from Iwo Jima,2006,7.9,89,Clint Eastwood,Ken Watanabe,154011
The Naked Gun: From the Files of Police Squad!,1988,7.6,76,David Zucker,Leslie Nielsen,152871
Rashômon,1950,8.2,98,Akira Kurosawa,Toshirô Mifune,152572
Kaze no tani no Naushika,1984,8.1,86,Hayao Miyazaki,Sumi Shimamoto,150924
The Last of the Mohicans,1992,7.7,76,Michael Mann,Daniel Day-Lewis,150409
Tenkû no shiro Rapyuta,1986,8,78,Hayao Miyazaki,Mayumi Tanaka,150140
Incendies,2010,8.3,80,Denis Villeneuve,Lubna Azabal,150023
Barry Lyndon,1975,8.1,89,Stanley Kubrick,Ryan O'Neal,149843
The Maltese Falcon,1941,8,96,John Huston,Humphrey Bogart,148928
Evil Dead II,1987,7.8,72,Sam Raimi,Bruce Campbell,148359
Network,1976,8.1,83,Sidney Lumet,Faye Dunaway,144911
Double Indemnity,1944,8.3,95,Billy Wilder,Fred MacMurray,143525
Young Frankenstein,1974,8,80,Mel Brooks,Gene Wilder,143359
Dirty Harry,1971,7.7,90,Don Siegel,Clint Eastwood,143292
Little Women,2019,7.8,91,Greta Gerwig,Saoirse Ronan,143250
I Am Sam,2001,7.7,28,Jessie Nelson,Sean Penn,142863
JFK,1991,8,72,Oliver Stone,Kevin Costner,142110
On the Waterfront,1954,8.1,91,Elia Kazan,Marlon Brando,142107
Wonder,2017,8,66,Stephen Chbosky,Jacob Tremblay,141923
Before Midnight,2013,7.9,94,Richard Linklater,Ethan Hawke,141457
Searching,2018,7.6,71,Aneesh Chaganty,John Cho,140840
Roma,2018,7.7,96,Alfonso Cuarón,Yalitza Aparicio,140375
Salinui chueok,2003,8.1,82,Bong Joon Ho,Kang-ho Song,139558
Isle of Dogs,2018,7.9,82,Wes Anderson,Bryan Cranston,139114
La piel que habito,2011,7.6,70,Pedro Almodóvar,Antonio Banderas,138959
La vie d'Adèle,2013,7.7,89,Abdellatif Kechiche,Léa Seydoux,138741
Ray,2004,7.7,73,Taylor Hackford,Jamie Foxx,138356
Good Bye Lenin!,2003,7.7,68,Wolfgang Becker,Daniel Brühl,137981
Dogville,2003,8,60,Lars von Trier,Nicole Kidman,137963
Kramer vs. Kramer,1979,7.8,77,Robert Benton,Dustin Hoffman,133351
A Christmas Story,1983,7.9,77,Bob Clark,Peter Billingsley,132947
Manhattan,1979,7.9,83,Woody Allen,Woody Allen,131436
Lost Highway,1997,7.6,52,David Lynch,Bill Pullman,131101
Rope,1948,8,73,Alfred Hitchcock,James Stewart,129783
Kôkaku Kidôtai,1995,8,76,Mamoru Oshii,Atsuko Tanaka,129231
The Count of Monte Cristo,2002,7.8,61,Kevin Reynolds,Jim Caviezel,129022
This Is Spinal Tap,1984,7.9,92,Rob Reiner,Rob Reiner,128812
A Bronx Tale,1993,7.8,80,Robert De Niro,Robert De Niro,128171
Roman Holiday,1953,8,78,William Wyler,Gregory Peck,127256
Kung fu,2004,7.7,78,Stephen Chow,Stephen Chow,127250
Tombstone,1993,7.8,50,George P. Cosmatos,Kevin Jarre,126871
Billy Elliot,2000,7.7,74,Stephen Daldry,Jamie Bell,126770
Boyz n the Hood,1991,7.8,76,John Singleton,Cuba Gooding Jr.,126082
Blazing Saddles,1974,7.7,73,Mel Brooks,Cleavon Little,125993
Miller's Crossing,1990,7.7,66,Joel Coen,Ethan Coen,125822
Gake no ue no Ponyo,2008,7.7,86,Hayao Miyazaki,Cate Blanchett,125317
Awakenings,1990,7.8,74,Penny Marshall,Robert De Niro,125276
"Planes, Trains & Automobiles",1987,7.6,72,John Hughes,Steve Martin,124773
Fa yeung nin wah,2000,8.1,85,Kar-Wai Wong,Tony Chiu-Wai Leung,124383
Spartacus,1960,7.9,87,Stanley Kubrick,Kirk Douglas,124339
Majo no takkyûbin,1989,7.8,83,Hayao Miyazaki,Kirsten Dunst,124193
Rebecca,1940,8.1,86,Alfred Hitchcock,Laurence Olivier,123942
Strangers on a Train,1951,7.9,88,Alfred Hitchcock,Farley Granger,123341
Me and Earl and the Dying Girl,2015,7.7,74,Alfonso Gomez-Rejon,Thomas Mann,123210
Glory,1989,7.8,78,Edward Zwick,Matthew Broderick,122779
Escape from Alcatraz,1979,7.6,76,Don Siegel,Clint Eastwood,121731
Papillon,1973,8,58,Franklin J. Schaffner,Steve McQueen,121627
All About Eve,1950,8.2,98,Joseph L. Mankiewicz,Bette Davis,120539
Kubo and the Two Strings,2016,7.8,84,Travis Knight,Charlize Theron,118035
Mou gaan dou,2002,8,75,Andrew Lau,Alan Mak,117857
Night of the Living Dead,1968,7.9,89,George A. Romero,Duane Jones,116557
Y tu mamá también,2001,7.6,88,Alfonso Cuarón,Maribel Verdú,115827
Empire of the Sun,1987,7.7,62,Steven Spielberg,Christian Bale,115677
This Is England,2006,7.7,86,Shane Meadows,Thomas Turgoose,115576
Serbuan maut 2: Berandal,2014,8,71,Gareth Evans,Iko Uwais,114316
The Treasure of the Sierra Madre,1948,8.2,98,John Huston,Humphrey Bogart,114304
Ah-ga-ssi,2016,8.1,84,Chan-wook Park,Kim Min-hee,113649
Barton Fink,1991,7.7,69,Joel Coen,Ethan Coen,113240
Star Trek II: The Wrath of Khan,1982,7.7,67,Nicholas Meyer,William Shatner,112704
Ran,1985,8.2,96,Akira Kurosawa,Tatsuya Nakadai,112505
Nebraska,2013,7.7,87,Alexander Payne,Bruce Dern,112298
Dawn of the Dead,1978,7.9,71,George A. Romero,David Emge,111512
Hunt for the Wilderpeople,2016,7.9,81,Taika Waititi,Sam Neill,111483
Ang-ma-reul bo-at-da,2010,7.8,67,Jee-woon Kim,Lee Byung-Hun,111252
Once,2007,7.8,88,John Carney,Glen Hansard,110656
The French Connection,1971,7.7,94,William Friedkin,Gene Hackman,110075
Serpico,1973,7.7,87,Sidney Lumet,Al Pacino,109941
8½,1963,8,91,Federico Fellini,Marcello Mastroianni,108844
La migliore offerta,2013,7.8,49,Giuseppe Tornatore,Geoffrey Rush,108399
My Cousin Vinny,1992,7.6,68,Jonathan Lynn,Joe Pesci,107325
The Fall,2006,7.9,64,Tarsem Singh,Lee Pace,107290
Mr. Smith Goes to Washington,1939,8.1,73,Frank Capra,James Stewart,107017
Lagaan: Once Upon a Time in India,2001,8.1,84,Ashutosh Gowariker,Aamir Khan,105036
Klaus,2019,8.2,65,Sergio Pablos,Carlos Martínez López,104761
Hable con ella,2002,7.9,86,Pedro Almodóvar,Rosario Flores,104691
Frost/Nixon,2008,7.7,80,Ron Howard,Frank Langella,103330
Le scaphandre et le papillon,2007,8,92,Julian Schnabel,Laura Obiols,103284
Persona,1966,8.1,86,Ingmar Bergman,Bibi Andersson,103191
All the President's Men,1976,7.9,84,Alan J. Pakula,Dustin Hoffman,103031
Sense and Sensibility,1995,7.6,84,Ang Lee,Emma Thompson,102598
Bonnie and Clyde,1967,7.8,86,Arthur Penn,Warren Beatty,102415
Dancer in the Dark,2000,8,61,Lars von Trier,Björk,102285
Der Name der Rose,1986,7.7,54,Jean-Jacques Annaud,Sean Connery,102031
Midnight Cowboy,1969,7.8,79,John Schlesinger,Dustin Hoffman,101124
Gifted,2017,7.6,60,Marc Webb,Chris Evans,99643
A Streetcar Named Desire,1951,8,97,Elia Kazan,Vivien Leigh,99182
Deliverance,1972,7.7,80,John Boorman,Jon Voight,98740
The Conversation,1974,7.8,85,Francis Ford Coppola,Gene Hackman,98611
My Name Is Khan,2010,8,50,Karan Johar,Shah Rukh Khan,98575
Touch of Evil,1958,8,99,Orson Welles,Charlton Heston,98431
Tropa de Elite,2007,8,33,José Padilha,Wagner Moura,98097
High Noon,1952,7.9,89,Fred Zinnemann,Gary Cooper,97222
Diarios de motocicleta,2004,7.8,75,Walter Salles,Gael García Bernal,96703
Enter the Dragon,1973,7.7,83,Robert Clouse,Bruce Lee,96561
Smultronstället,1957,8.2,88,Ingmar Bergman,Victor Sjöström,96381
Glengarry Glen Ross,1992,7.7,82,James Foley,Al Pacino,95826
The Florida Project,2017,7.6,92,Sean Baker,Brooklynn Prince,95181
The Last Emperor,1987,7.7,76,Bernardo Bertolucci,John Lone,94326
Philomena,2013,7.6,77,Stephen Frears,Judi Dench,94212
It Happened One Night,1934,8.1,87,Frank Capra,Clark Gable,94016
The Warriors,1979,7.6,65,Walter Hill,Michael Beck,93878
Patton,1970,7.9,91,Franklin J. Schaffner,George C. Scott,93741
Un prophète,2009,7.9,90,Jacques Audiard,Tahar Rahim,93560
Amour,2012,7.9,94,Michael Haneke,Jean-Louis Trintignant,93090
Notorious,1946,7.9,100,Alfred Hitchcock,Cary Grant,92306
The Hurricane,1999,7.6,74,Norman Jewison,Denzel Washington,91557
"Paris, Texas",1984,8.1,78,Wim Wenders,Harry Dean Stanton,91188
Das Experiment,2001,7.7,60,Oliver Hirschbiegel,Moritz Bleibtreu,90842
Trois couleurs: Rouge,1994,8.1,100,Krzysztof Kieslowski,Irène Jacob,90729
Dead Man,1995,7.6,62,Jim Jarmusch,Johnny Depp,90442
The Trial of the Chicago 7,2020,7.8,77,Aaron Sorkin,Eddie Redmayne,89896
Trois couleurs: Bleu,1993,7.9,85,Krzysztof Kieslowski,Juliette Binoche,89836
Do the Right Thing,1989,8,93,Spike Lee,Danny Aiello,89429
Todo sobre mi madre,1999,7.8,87,Pedro Almodóvar,Cecilia Roth,89058
Fantasia,1940,7.7,96,James Algar,Samuel Armstrong,88662
Persepolis,2007,8,90,Vincent Paronnaud,Marjane Satrapi,88656
The King of Comedy,1982,7.8,73,Martin Scorsese,Robert De Niro,88511
Mississippi Burning,1988,7.8,65,Alan Parker,Gene Hackman,88214
Blood Simple,1984,7.6,82,Joel Coen,Ethan Coen,87745
The Magnificent Seven,1960,7.7,74,John Sturges,Yul Brynner,87719
Sling Blade,1996,8,84,Billy Bob Thornton,Billy Bob Thornton,86838
My Fair Lady,1964,7.8,95,George Cukor,Audrey Hepburn,86525
Malcolm X,1992,7.7,73,Spike Lee,Denzel Washington,85819
The Grapes of Wrath,1940,8,96,John Ford,Henry Fonda,85559
Sing Street,2016,7.9,79,John Carney,Ferdia Walsh-Peelo,85109
Rebel Without a Cause,1955,7.7,89,Nicholas Ray,James Dean,83363
"Synecdoche, New York",2008,7.6,67,Charlie Kaufman,Philip Seymour Hoffman,83158
October Sky,1999,7.8,71,Joe Johnston,Jake Gyllenhaal,82855
La Vie En Rose,2007,7.6,66,Olivier Dahan,Marion Cotillard,82781
Gangs of Wasseypur,2012,8.2,89,Anurag Kashyap,Manoj Bajpayee,82365
The Straight Story,1999,8,86,David Lynch,Richard Farnsworth,82002
The Night of the Hunter,1955,8,99,Charles Laughton,Robert Mitchum,81980
Short Term 12,2013,8,82,Destin Daniel Cretton,Brie Larson,81770
The Killing,1956,8,91,Stanley Kubrick,Sterling Hayden,81702
Flipped,2010,7.7,45,Rob Reiner,Madeline Carroll,81446
La grande bellezza,2013,7.8,86,Paolo Sorrentino,Toni Servillo,81125
Solaris,1972,8.1,90,Andrei Tarkovsky,Natalya Bondarchuk,81021
Kari-gurashi no Arietti,2010,7.6,80,Hiromasa Yonebayashi,Amy Poehler,80939
Delicatessen,1991,7.6,66,Marc Caro,Jean-Pierre Jeunet,80487
The Searchers,1956,7.9,94,John Ford,John Wayne,80316
Tropa de Elite 2: O Inimigo Agora é Outro,2010,8,71,José Padilha,Wagner Moura,79200
King Kong,1933,7.9,90,Merian C. Cooper,Ernest B. Schoedsack,78991
The Sandlot,1993,7.8,55,David Mickey Evans,Tom Guiry,78963
Festen,1998,8,82,Thomas Vinterberg,Ulrich Thomsen,78341
The Color Purple,1985,7.8,78,Steven Spielberg,Danny Glover,78321
Kurenai no buta,1992,7.7,83,Hayao Miyazaki,Shûichirô Moriyama,77798
Mar adentro,2014,8,74,Alejandro Amenábar,Javier Bardem,77554
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,8,85,Ki-duk Kim,Ki-duk Kim,77520
The Wild Bunch,1969,7.9,97,Sam Peckinpah,William Holden,77401
Detachment,2011,7.7,52,Tony Kaye,Adrien Brody,77071
Pink Floyd: The Wall,1982,8.1,47,Alan Parker,Bob Geldof,76081
The Hustler,1961,8,90,Robert Rossen,Paul Newman,75067
Chak De! India,2007,8.2,68,Shimit Amin,Shah Rukh Khan,74129
Beasts of No Nation,2015,7.7,79,Cary Joji Fukunaga,Abraham Attah,73964
Kaze tachinu,2013,7.8,83,Hayao Miyazaki,Hideaki Anno,73690
Midnight Express,1978,7.6,59,Alan Parker,Brad Davis,73662
The Bridges of Madison County,1995,7.6,69,Clint Eastwood,Clint Eastwood,73172
Huo Yuan Jia,2006,7.6,70,Ronny Yu,Jet Li,72863
Zwartboek,2006,7.7,71,Paul Verhoeven,Carice van Houten,72643
The African Queen,1951,7.7,91,John Huston,Humphrey Bogart,71481
Papurika,2006,7.7,81,Satoshi Kon,Megumi Hayashibara,71379
The Manchurian Candidate,1962,7.9,94,John Frankenheimer,Frank Sinatra,71122
Un long dimanche de fiançailles,2004,7.6,76,Jean-Pierre Jeunet,Audrey Tautou,70925
Harold and Maude,1971,7.9,62,Hal Ashby,Ruth Gordon,70826
Doctor Zhivago,1965,8,69,David Lean,Omar Sharif,69903
Judgment at Nuremberg,1961,8.2,60,Stanley Kramer,Spencer Tracy,69458
Who's Afraid of Virginia Woolf?,1966,8,75,Mike Nichols,Elizabeth Taylor,68926
The Man Who Shot Liberty Valance,1962,8.1,94,John Ford,James Stewart,68827
Das weiße Band - Eine deutsche Kindergeschichte,2009,7.8,82,Michael Haneke,Christian Friedel,68715
Charade,1963,7.9,83,Stanley Donen,Cary Grant,68689
My Left Foot: The Story of Christy Brown,1989,7.9,97,Jim Sheridan,Daniel Day-Lewis,68076
In the Heat of the Night,1967,7.9,75,Norman Jewison,Sidney Poitier,67804
The Station Agent,2003,7.6,81,Tom McCarthy,Peter Dinklage,67370
Jeux d'enfants,2003,7.6,45,Yann Samuell,Guillaume Canet,67360
The Dirty Dozen,1967,7.7,73,Robert Aldrich,Lee Marvin,67183
Hannah and Her Sisters,1986,7.9,90,Woody Allen,Mia Farrow,67176
Fried Green Tomatoes,1991,7.7,64,Jon Avnet,Kathy Bates,66941
La dolce vita,1960,8,95,Federico Fellini,Marcello Mastroianni,66621
Happiness,1998,7.7,81,Todd Solondz,Jane Adams,66408
The Peanut Butter Falcon,2019,7.6,70,Tyler Nilson,Michael Schwartz,66346
The Remains of the Day,1993,7.8,84,James Ivory,Anthony Hopkins,66065
Badlands,1973,7.8,93,Terrence Malick,Martin Sheen,66009
Mysterious Skin,2004,7.6,73,Gregg Araki,Brady Corbet,65939
The Outlaw Josey Wales,1976,7.8,69,Clint Eastwood,Clint Eastwood,65659
Being There,1979,8,83,Hal Ashby,Peter Sellers,65625
Bacheha-Ye aseman,1997,8.3,77,Majid Majidi,Mohammad Amir Naji,65341
Frankenstein,1931,7.8,91,James Whale,Colin Clive,65341
Funny Games,1997,7.6,69,Michael Haneke,Susanne Lothar,65058
Der Himmel über Berlin,1987,8,79,Wim Wenders,Bruno Ganz,64722
Trois couleurs: Blanc,1994,7.6,88,Krzysztof Kieslowski,Zbigniew Zamachowski,64390
The Philadelphia Story,1940,7.9,96,George Cukor,Cary Grant,63550
Kal Ho Naa Ho,2003,8,54,Nikkhil Advani,Preity Zinta,63460
Portrait de la jeune fille en feu,2019,8.1,95,Céline Sciamma,Noémie Merlant,63134
Chung Hing sam lam,1994,8.1,77,Kar-Wai Wong,Brigitte Lin,63122
Manbiki kazoku,2018,7.9,93,Hirokazu Koreeda,Lily Franky,62754
Boksuneun naui geot,2002,7.6,56,Chan-wook Park,Kang-ho Song,62659
Capharnaüm,2018,8.4,75,Nadine Labaki,Zain Al Rafeea,62635
Breaking the Waves,1996,7.8,76,Lars von Trier,Emily Watson,62428
Control,2007,7.7,78,Anton Corbijn,Sam Riley,61609
Paddington 2,2017,7.8,88,Paul King,Ben Whishaw,61594
Waking Life,2001,7.8,83,Richard Linklater,Ethan Hawke,60684
Dark Waters,2019,7.6,73,Todd Haynes,Mark Ruffalo,60408
Anatomy of a Murder,1959,8,95,Otto Preminger,James Stewart,59847
After Hours,1985,7.7,90,Martin Scorsese,Griffin Dunne,59635
Shadow of a Doubt,1943,7.8,94,Alfred Hitchcock,Teresa Wright,59556
Sabrina,1954,7.7,72,Billy Wilder,Humphrey Bogart,59415
La leggenda del pianista sull'oceano,1998,8.1,58,Giuseppe Tornatore,Tim Roth,59020
Chugyeokja,2008,7.8,64,Hong-jin Na,Kim Yoon-seok,58468
Only the Brave,2017,7.6,72,Joseph Kosinski,Josh Brolin,58371
Fanny och Alexander,1982,8.1,100,Ingmar Bergman,Bertil Guve,57784
Les choristes,2004,7.9,56,Christophe Barratier,Gérard Jugnot,57430
All Quiet on the Western Front,1930,8,91,Lewis Milestone,Lew Ayres,57318
The Best Years of Our Lives,1946,8,93,William Wyler,Myrna Loy,57259
Le Petit Prince,2015,7.7,70,Mark Osborne,Jeff Bridges,56720
"4 luni, 3 saptamâni si 2 zile",2007,7.9,97,Cristian Mungiu,Anamaria Marinca,56625
Blowup,1966,7.6,82,Michelangelo Antonioni,David Hemmings,56513
Rio Bravo,1959,8,93,Howard Hawks,John Wayne,56305
The Right Stuff,1983,7.8,91,Philip Kaufman,Sam Shepard,56235
Duck Soup,1933,7.8,93,Leo McCarey,Groucho Marx,55581
Night on Earth,1991,7.8,68,Jim Jarmusch,Winona Ryder,55362
Hamilton,2020,8.6,90,Thomas Kail,Lin-Manuel Miranda,55291
Bringing Up Baby,1938,7.8,91,Howard Hawks,Katharine Hepburn,55163
Crimes and Misdemeanors,1989,7.9,77,Woody Allen,Martin Landau,54670
Le salaire de la peur,1953,8.1,85,Henri-Georges Clouzot,Yves Montand,54588
"I, Daniel Blake",2016,7.9,78,Ken Loach,Laura Obiols,53818
La battaglia di Algeri,1966,8.1,96,Gillo Pontecorvo,Brahim Hadjadj,53089
Bronenosets Potemkin,1925,8,97,Sergei M. Eisenstein,Aleksandr Antonov,53054
Victoria,2015,7.6,77,Sebastian Schipper,Laia Costa,52903
Days of Heaven,1978,7.8,93,Terrence Malick,Richard Gere,52852
Madeo,2009,7.8,79,Bong Joon Ho,Hye-ja Kim,52758
The Longest Day,1962,7.8,75,Ken Annakin,Andrew Marton,52141
The World's Fastest Indian,2005,7.8,68,Roger Donaldson,Anthony Hopkins,51980
Mimi wo sumaseba,1995,7.9,75,Yoshifumi Kondô,Yoko Honna,51943
Where Eagles Dare,1968,7.7,63,Brian G. Hutton,Richard Burton,51913
The 39 Steps,1935,7.6,93,Alfred Hitchcock,Robert Donat,51853
Pride,2014,7.8,79,Matthew Warchus,Bill Nighy,51841
Song of the Sea,2014,8.1,85,Tomm Moore,David Rawle,51679
The Killing Fields,1984,7.8,76,Roland Joffé,Sam Waterston,51585
Shine,1996,7.7,87,Scott Hicks,Geoffrey Rush,51350
Gegen die Wand,2004,7.9,78,Fatih Akin,Birol Ünel,51325
Forushande,2016,7.8,85,Asghar Farhadi,Shahab Hosseini,51240
Stalag 17,1953,8,84,Billy Wilder,William Holden,51046
"Crna macka, beli macor",1998,8.1,73,Emir Kusturica,Bajram Severdzan,50862
Loving Vincent,2017,7.8,62,Dorota Kobiela,Hugh Welchman,50778
Mommy,2014,8.1,74,Xavier Dolan,Anne Dorval,50700
Les triplettes de Belleville,2003,7.8,91,Sylvain Chomet,Michèle Caucheteux,50622
Bin-jip,2004,8,72,Ki-duk Kim,Seung-Yun Lee,50610
The Lunchbox,2013,7.8,76,Ritesh Batra,Irrfan Khan,50523
The Muppet Christmas Carol,1992,7.7,64,Brian Henson,Michael Caine,50298
What Ever Happened to Baby Jane?,1962,8.1,75,Robert Aldrich,Bette Davis,50058
Dead Man's Shoes,2004,7.6,52,Shane Meadows,Paddy Considine,49728
Nueve reinas,2000,7.9,80,Fabián Bielinsky,Ricardo Darín,49721
Leviafan,2014,7.6,92,Andrey Zvyagintsev,Aleksey Serebryakov,49397
Veer-Zaara,2004,7.8,67,Yash Chopra,Shah Rukh Khan,49050
Repulsion,1965,7.7,91,Roman Polanski,Catherine Deneuve,48883
Okuribito,2008,8.1,68,Yôjirô Takita,Masahiro Motoki,48582
Cabaret,1972,7.8,80,Bob Fosse,Liza Minnelli,48334
Down by Law,1986,7.8,75,Jim Jarmusch,Tom Waits,47834
Koe no katachi,2016,8.1,78,Naoko Yamada,Miyu Irino,47708
En man som heter Ove,2015,7.7,70,Hannes Holm,Rolf Lassgård,47444
The Lady Vanishes,1938,7.8,98,Alfred Hitchcock,Margaret Lockwood,47400
The Adventures of Robin Hood,1938,7.9,97,Michael Curtiz,William Keighley,47175
The Purple Rose of Cairo,1985,7.7,75,Woody Allen,Mia Farrow,47102
Ordinary People,1980,7.7,86,Robert Redford,Donald Sutherland,47099
